,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
5,11,Norte,4,77,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
11,11,Norte,4,68,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,4
25,11,Norte,2,65,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,2224.0,1,2
26,11,Norte,4,62,8,1,4,,2.0,1.0,2500.0,2.0,0,,2500.0,1,12
51,11,Norte,2,90,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
62,11,Norte,4,73,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,12
66,11,Norte,2,65,2,1,4,,2.0,1.0,724.0,1.0,0,4.0,2724.0,1,12
77,11,Norte,4,58,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,1848.0,1,5
82,11,Norte,4,59,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
87,11,Norte,4,63,2,1,4,,2.0,1.0,1019.0,1.0,0,3.0,1919.0,1,1
88,11,Norte,2,62,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,6
98,11,Norte,2,71,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,1524.0,1,5
103,11,Norte,2,67,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
138,11,Norte,4,39,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,1444.0,1,10
183,11,Norte,2,63,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,1724.0,1,7
195,11,Norte,2,49,8,3,4,,2.0,1.0,850.0,2.0,0,,850.0,1,1
197,11,Norte,4,69,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
198,11,Norte,4,39,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
213,11,Norte,2,89,2,3,4,,2.0,1.0,1200.0,2.0,0,,1200.0,1,1
232,11,Norte,2,67,4,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
257,11,Norte,2,77,2,3,4,,2.0,1.0,724.0,1.0,0,3.0,1124.0,1,1
267,11,Norte,4,77,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
280,11,Norte,2,63,2,1,4,,2.0,1.0,724.0,1.0,0,2.0,1624.0,1,6
281,11,Norte,4,60,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
372,11,Norte,2,66,8,1,4,,2.0,1.0,724.0,1.0,0,2.0,724.0,8,1
373,11,Norte,4,63,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,1
374,11,Norte,2,69,2,3,4,,2.0,1.0,724.0,1.0,0,2.0,1096.0,8,1
375,11,Norte,4,61,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,4
382,11,Norte,2,68,8,1,4,,2.0,1.0,724.0,1.0,0,5.0,1824.0,8,1
383,11,Norte,4,63,8,1,4,,2.0,1.0,724.0,1.0,0,5.0,724.0,8,4
384,11,Norte,2,40,2,1,4,,2.0,1.0,999999999999.0,1.0,0,3.0,999999999999.0,8,1
405,11,Norte,4,67,2,3,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,1
468,11,Norte,4,68,2,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
470,11,Norte,4,68,2,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
498,11,Norte,4,73,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
504,11,Norte,4,83,2,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
510,11,Norte,2,64,8,3,4,,2.0,1.0,724.0,1.0,0,2.0,1448.0,1,1
511,11,Norte,4,57,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
527,11,Norte,2,72,2,1,4,,2.0,1.0,1200.0,1.0,0,3.0,2400.0,1,6
550,11,Norte,4,78,8,3,4,,2.0,1.0,724.0,1.0,0,1.0,1448.0,8,1
554,11,Norte,2,68,8,3,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,1
560,11,Norte,2,72,2,3,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,1
561,11,Norte,4,69,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,2
583,11,Norte,4,67,2,1,4,,2.0,1.0,724.0,1.0,0,2.0,999999999999.0,8,5
601,11,Norte,2,72,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,1299.0,8,5
602,11,Norte,4,58,8,3,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,1
614,11,Norte,4,77,2,3,4,,2.0,1.0,724.0,1.0,0,1.0,1448.0,8,1
615,11,Norte,2,62,2,1,4,,2.0,1.0,724.0,1.0,0,2.0,1424.0,8,5
616,11,Norte,4,56,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,4
617,11,Norte,4,79,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,6
623,11,Norte,2,69,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,5
624,11,Norte,4,67,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,4
625,11,Norte,2,64,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,6724.0,8,5
626,11,Norte,4,59,8,1,4,,2.0,1.0,2200.0,1.0,0,1.0,2200.0,8,16
633,11,Norte,4,49,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,16
638,11,Norte,2,68,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,12
